半球,样本数,平均RMS改善量,RMS改善量标准差,RMS改善率(%),平均3D位置改善量,3D位置改善量标准差,3D位置改善率(%)
北半球,16,0.07221601562499996,0.16721000773960107,0.6661189316175089,2.5919576432424827,5.623503528306263,10.44498417319828
南半球,8,0.07328149999999911,0.13436782744274173,0.4434978963545464,-1.0262488936020757,2.5752440966071144,-1.49051509291853
