测站代码,测站名称,半球,纬度带,样本数,平均RMS改善量,RMS改善量标准差,RMS改善率(%),平均3D位置改善量,3D位置改善量标准差,3D位置改善率(%)
NYA2,斯瓦尔巴,北半球,高纬,4,0.0029340625000009446,0.051952907619472126,0.022297232172189624,-2.768940866513364,0.9364539009984324,-5.7619469618572
DAV1,南极Davis站,南半球,高纬,4,0.016755916666665094,0.02992564409606828,0.07538141491520933,0.7668839415670412,0.6873396775067535,1.7469813323874683
WTZR,德国,北半球,中纬,4,-0.04753070833333162,0.08727393756900276,-0.32147721159126674,-1.3497068810327866,1.9518513390147765,-4.963620852606427
HOB2,霍巴特,南半球,中纬,4,0.12980708333333313,0.18086387723800626,0.8116143777938835,-2.8193817287711926,2.535301736575629,-4.728011518224529
NTUS,新加坡,北半球,低纬,4,0.2963662708333312,0.11048428593816086,2.082455766703895,7.464802395809966,2.958324075267781,23.973325431640117
KOUR,圭亚那,北半球,低纬,4,0.0370944374999993,0.15204759922422004,0.8811999391852178,7.021675924706115,5.274780815568869,28.532179075616636
