年积日,时段,样本数,平均RMS改善量,RMS改善量标准差,RMS改善率(%),平均3D位置改善量,3D位置改善量标准差,3D位置改善率(%)
2024129,00,6,0.10061649999999951,0.17672063667127053,0.6517126469279427,-0.603514031023796,3.122020595229443,0.1465917763755661
2024129,12,6,0.018743333333334,0.12990466242006868,0.28750675950192756,3.1781691222735406,5.416117933404089,8.676748586608435
2024132,00,6,0.1516796666666651,0.17958270586742608,1.1944630522006234,0.2870018841710585,4.342833641023115,9.260885456789781
2024132,12,6,0.01924520833333343,0.11600460993526299,0.2339652208222587,2.6818982150897166,6.936138566688524,7.78171185153026
