成功历元数,失败历元数,平均RMS,RMS标准差,平均最大残差,平均卫星数,平均dx,平均dy,平均dz,平均|dx|,平均|dy|,平均|dz|,平均3D位置误差,测站名称,半球,纬度带,纬度,文件名,文件路径,测站完整代码,测站代码,年积日,时段,模型
100,0,15.724918,0.9371048402889236,,10.72,6.035915999999999,-6.1966540000000006,-19.688505,6.035915999999999,6.1966540000000006,22.756100999999997,24.818455391250577,斯瓦尔巴,北半球,高纬,78.93,NYA200NOR_2024129_spp_klobuchar.txt,../output/RESULT_morning\NYA200NOR_2024129_spp_klobuchar.txt,NYA200NOR,NYA2,2024129,00,klobuchar
100,0,15.722985000000001,0.9568758166871006,,10.72,6.5478239999999985,-6.069403000000001,-16.754655,6.5478239999999985,6.069403000000001,21.105923000000004,23.378833799274204,斯瓦尔巴,北半球,高纬,78.93,NYA200NOR_2024129_spp_no_ionosphere.txt,../output/RESULT_morning\NYA200NOR_2024129_spp_no_ionosphere.txt,NYA200NOR,NYA2,2024129,00,no_ionosphere
100,0,14.340392999999999,1.31266797799579,,11.11,6.207696000000001,-6.771858999999999,-37.447665,6.207696000000001,6.771858999999999,37.447665,38.62133350870486,斯瓦尔巴,北半球,高纬,78.93,NYA200NOR_2024132_spp_klobuchar.txt,../output/RESULT_morning\NYA200NOR_2024132_spp_klobuchar.txt,NYA200NOR,NYA2,2024132,00,klobuchar
100,0,14.321406,1.3280059890046896,,11.11,6.727561,-6.626577000000001,-34.424549999999996,6.727561,6.626577000000001,34.424549999999996,35.79457889432232,斯瓦尔巴,北半球,高纬,78.93,NYA200NOR_2024132_spp_no_ionosphere.txt,../output/RESULT_morning\NYA200NOR_2024132_spp_no_ionosphere.txt,NYA200NOR,NYA2,2024132,00,no_ionosphere
100,0,13.441562,3.434046313047856,,9.01,-12.748208,-5.588239,-24.23511000000001,13.041144,5.588239,24.23511000000001,28.71129704912577,德国,北半球,中纬,49.14,WTZR00DEU_2024129_spp_klobuchar.txt,../output/RESULT_morning\WTZR00DEU_2024129_spp_klobuchar.txt,WTZR00DEU,WTZR,2024129,00,klobuchar
100,0,13.302039000000002,3.4280278664430517,,8.99,-11.193598000000001,-5.1994359999999995,-22.417549999999995,11.780521999999998,5.1994359999999995,22.417549999999995,26.48458526002795,德国,北半球,中纬,49.14,WTZR00DEU_2024129_spp_no_ionosphere.txt,../output/RESULT_morning\WTZR00DEU_2024129_spp_no_ionosphere.txt,WTZR00DEU,WTZR,2024129,00,no_ionosphere
100,0,13.454203999999999,2.83654045668453,,9.05,-3.993658,-4.059359,-22.163937999999998,9.1853,4.112137000000001,22.163937999999998,24.720665853185352,德国,北半球,中纬,49.14,WTZR00DEU_2024132_spp_klobuchar.txt,../output/RESULT_morning\WTZR00DEU_2024132_spp_klobuchar.txt,WTZR00DEU,WTZR,2024132,00,klobuchar
100,0,13.454185,2.890505162880948,,9.05,-2.251745,-3.6602099999999997,-20.187,8.570287,3.76806,20.187,22.749259269157864,德国,北半球,中纬,49.14,WTZR00DEU_2024132_spp_no_ionosphere.txt,../output/RESULT_morning\WTZR00DEU_2024132_spp_no_ionosphere.txt,WTZR00DEU,WTZR,2024132,00,no_ionosphere
240,0,17.494913333333333,3.4879140803813864,,10.075,3.441637083333333,-4.59001625,-8.109987083333333,3.441637083333333,11.975677916666665,30.510921250000003,35.517149368295605,南极Davis站,南半球,高纬,-68.58,DAV100ATA_2024129_spp_klobuchar.txt,../output/RESULT_afternoon\DAV100ATA_2024129_spp_klobuchar.txt,DAV100ATA,DAV1,2024129,12,klobuchar
240,0,17.512004166666667,3.4243091809166066,,10.079166666666667,3.4143154166666667,-3.5505237500000004,-11.612840833333333,3.4143154166666667,12.30416625,32.59533166666667,36.97135706295879,南极Davis站,南半球,高纬,-68.58,DAV100ATA_2024129_spp_no_ionosphere.txt,../output/RESULT_afternoon\DAV100ATA_2024129_spp_no_ionosphere.txt,DAV100ATA,DAV1,2024129,12,no_ionosphere
