prn,toe,toc,a0,a1,a2,sqrt_a,e,i0,omega0,omegadot,m0,w,delta_n,idot,c_uc,c_us,c_rc,c_rs,c_ic,c_is,tgd,health,week,fit_interval
1,518400.0,511218.0,0.000275874510407,-4.77484718431e-12,0.0,5153.76003265,0.013410550775,0.955037987337,0.316800483783,-7.58531595886e-09,2.27203347726,1.0319401178,5.51487257372e-09,-3.88587614805e-10,3.21492552757e-06,1.06897205114e-05,168.5625,63.9375,4.47034835815e-08,-3.11061739922e-07,-1.95577740669e-08,63.0,2313,4
1,525600.0,518418.0,0.000275840051472,-4.77484718431e-12,0.0,5153.76185989,0.0134097345872,0.95503540675,0.316746723007,-7.48352600461e-09,-2.96106766145,1.03198965952,5.43772650313e-09,-4.13231498465e-10,3.58186662197e-06,1.03618949652e-05,175.21875,70.1875,1.24797224999e-07,-1.49011611938e-07,-1.95577740669e-08,63.0,2313,4
1,532800.0,525618.0,0.000275805126876,-4.77484718431e-12,0.0,5153.75969505,0.0134108595084,0.955032492617,0.316692875918,-7.52924219459e-09,-1.91096904374,1.03202600133,5.52523014801e-09,-4.30017911972e-10,3.46079468727e-06,9.97260212898e-06,185.09375,67.78125,2.64495611191e-07,-9.685754776e-08,-1.95577740669e-08,63.0,2313,4
1,540000.0,537558.0,0.00027577066794,-4.77484718431e-12,0.0,5153.76253891,0.0134106938494,0.955026910121,0.316638186189,-7.99890461506e-09,-0.860717613989,1.03190874698,5.74488215454e-09,-5.66095008701e-10,2.92621552944e-06,9.74163413048e-06,188.9375,55.96875,1.30385160446e-08,3.37138772011e-07,-1.95577740669e-08,63.0,2313,4
1,547184.0,544446.0,0.000275738537312,-4.77484718431e-12,0.0,5153.75854492,0.0134087871993,0.955022620846,0.316579972289,-8.09140846821e-09,0.187026735511,1.03196834188,5.91917512883e-09,-5.6859511284e-10,2.46055424213e-06,9.92976129055e-06,184.4375,42.21875,-1.47148966789e-07,1.84401869774e-07,-1.95577740669e-08,63.0,2313,4
1,547200.0,540018.0,0.000275735743344,-4.77484718431e-12,0.0,5153.75854302,0.0134087840561,0.955022585736,0.316579845016,-8.09176562595e-09,0.189360012313,1.03196878075,5.91953228657e-09,-5.68952270574e-10,2.46055424213e-06,9.92976129055e-06,184.4375,42.21875,-1.47148966789e-07,1.84401869774e-07,-1.95577740669e-08,63.0,2313,4
1,554384.0,554148.0,0.000275704078376,-4.77484718431e-12,0.0,5153.75934601,0.0134091704385,0.955018280368,0.316521865183,-8.04462080503e-09,1.23715015115,1.03198376396,5.9491763785e-09,-5.91810365563e-10,2.33016908169e-06,1.03507190943e-05,180.9375,42.46875,-2.81259417534e-07,6.51925802231e-08,-1.95577740669e-08,63.0,2313,4
1,561600.0,554418.0,0.00027566915378,-4.77484718431e-12,0.0,5153.75766373,0.0134091088548,0.9550163815,0.316464426631,-7.60745973838e-09,2.28969227508,1.0319151136,5.82702843341e-09,-4.71448209139e-10,2.39908695221e-06,1.01812183857e-05,178.15625,49.5625,-9.31322574616e-09,-3.07336449623e-07,-1.95577740669e-08,63.0,2313,4
1,568800.0,561618.0,0.000275634229183,-4.77484718431e-12,0.0,5153.76000404,0.0134079918498,0.955013044584,0.316409394578,-7.63353225297e-09,-2.94340420131,1.03196420182,5.79024118679e-09,-3.95373611755e-10,2.77161598206e-06,9.89250838757e-06,183.53125,58.15625,1.95577740669e-07,-2.71946191788e-07,-1.95577740669e-08,63.0,2313,4
1,576000.0,568818.0,0.000275599770248,-4.77484718431e-12,0.0,5153.75815964,0.0134089363273,0.955010978943,0.316353638382,-7.64710424687e-09,-1.8932986201,1.03199733545,5.78916971358e-09,-2.42152943785e-10,2.80328094959e-06,9.34302806854e-06,191.90625,56.5625,2.47731804848e-07,-2.421438694e-08,-1.95577740669e-08,63.0,2313,4
