prn,toe,toc,a0,a1,a2,sqrt_a,e,i0,omega0,omegadot,m0,w,delta_n,idot,c_uc,c_us,c_rc,c_rs,c_ic,c_is,tgd,health,week,fit_interval
1,259200.0,252018.0,0.0002771015279,-4.66116034659e-12,0.0,5153.76645851,0.0134070062777,0.955095017735,0.318822820273,-7.80996817367e-09,2.16624523788,1.03205524945,5.45129849704e-09,1.6429255773e-10,7.44499266148e-06,1.12000852823e-05,157.9375,146.21875,2.421438694e-08,-3.03611159325e-07,-1.95577740669e-08,63.0,2313,4
1,266400.0,259218.0,0.000277068000287,-4.66116034659e-12,0.0,5153.76710129,0.0134070101194,0.955096660592,0.318768085193,-7.61746015493e-09,-3.06687274486,1.03211672712,5.32915055194e-09,8.85751180806e-11,7.38352537155e-06,1.06710940599e-05,169.46875,144.5,8.19563865662e-08,-6.33299350738e-08,-1.95577740669e-08,63.0,2313,4
1,273600.0,266418.0,0.000277034007013,-4.66116034659e-12,0.0,5153.76469612,0.0134084747406,0.955097111171,0.318713582717,-7.64960435101e-09,-2.01675328788,1.03212864259,5.42451166697e-09,1.42863093678e-11,6.95139169693e-06,1.02911144495e-05,180.0,135.15625,1.88127160072e-07,-1.28522515297e-07,-1.95577740669e-08,63.0,2313,4
1,280800.0,279192.0,0.0002770004794,-4.66116034659e-12,0.0,5153.76749229,0.0134078491246,0.95509504992,0.31865839267,-8.04462080503e-09,-0.966508096016,1.03201321396,5.58701843603e-09,-1.40362989539e-10,6.31064176559e-06,1.03991478682e-05,177.5,120.34375,9.49949026108e-08,3.11061739922e-07,-1.95577740669e-08,63.0,2313,4
1,287984.0,283656.0,0.00027696788311,-4.66116034659e-12,0.0,5153.76467705,0.0134068058105,0.955093646981,0.318599698933,-8.16784022333e-09,0.081201406776,1.0321038432,5.76488298766e-09,-1.33576992589e-10,6.25289976597e-06,1.09374523163e-05,164.65625,114.71875,-9.685754776e-08,1.86264514923e-07,-1.95577740669e-08,63.0,2313,4
1,288000.0,280818.0,0.000276966486126,-4.66116034659e-12,0.0,5153.76466179,0.0134067991748,0.95509365137,0.318599549716,-8.16784022333e-09,0.0835349381255,1.03210405678,5.76524014539e-09,-1.33576992589e-10,6.25289976597e-06,1.09374523163e-05,164.65625,114.71875,-9.685754776e-08,1.86264514923e-07,-1.95577740669e-08,63.0,2313,4
1,295184.0,288018.0,0.000276933889836,-4.66116034659e-12,0.0,5153.76885033,0.0134089632193,0.955092380094,0.318541208543,-8.13355308085e-09,1.13127964604,1.03215743574,5.72416700596e-09,-1.80007498035e-10,6.52484595776e-06,1.19600445032e-05,147.8125,121.875,-2.10478901863e-07,9.685754776e-08,-1.95577740669e-08,63.0,2313,4
1,302400.0,295428.0,0.000276900362223,-4.66116034659e-12,0.0,5153.76593399,0.0134084363235,0.955093407063,0.31848279715,-7.7142499009e-09,2.18386616222,1.03203820645,5.6430922003e-09,-3.39299847486e-11,6.9048255682e-06,1.16731971502e-05,148.40625,137.21875,-3.16649675369e-08,-3.09199094772e-07,-1.95577740669e-08,63.0,2313,4
1,309600.0,302418.0,0.000276866368949,-4.66116034659e-12,0.0,5153.76704025,0.0134082015138,0.955093344157,0.318427630509,-7.66567644905e-09,-3.04925800428,1.03210800666,5.57594654627e-09,-1.57149403046e-11,6.84335827828e-06,1.10920518637e-05,160.65625,137.5625,1.19209289551e-07,-2.32830643654e-07,-1.95577740669e-08,63.0,2313,4
1,316800.0,309618.0,0.000276832375675,-4.66116034659e-12,0.0,5153.76402283,0.0134099440184,0.955093803513,0.318371739724,-7.68996317498e-09,-1.99915123958,1.03213510868,5.62201989398e-09,1.03575742917e-10,6.48200511932e-06,1.03656202555e-05,173.84375,128.59375,2.08616256714e-07,-5.40167093277e-08,-1.95577740669e-08,63.0,2313,4
