epoch_time,year,month,day,hour,minute,second,gps_week,gps_week_seconds,prn,c1_meters,s1_dBHz
2024-05-11 00:02:30.000000,2024,5,11,0,2,30.000000,2313,518550.0,15,21598597.91,NaN
2024-05-11 00:02:30.000000,2024,5,11,0,2,30.000000,2313,518550.0,18,22925402.193,NaN
2024-05-11 00:02:30.000000,2024,5,11,0,2,30.000000,2313,518550.0,20,25119338.174,NaN
2024-05-11 00:02:30.000000,2024,5,11,0,2,30.000000,2313,518550.0,23,23520796.854,NaN
2024-05-11 00:02:30.000000,2024,5,11,0,2,30.000000,2313,518550.0,27,22465167.802,NaN
2024-05-11 00:02:30.000000,2024,5,11,0,2,30.000000,2313,518550.0,30,21384326.88,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,5,22930357.597,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,7,22672309.835,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,8,22367510.27,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,13,20630349.29,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,14,23173720.99,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,15,21585242.253,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,18,22936016.194,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,20,25141540.535,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,22,24703110.38,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,23,23502935.092,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,27,22472597.18,NaN
2024-05-11 00:03:0.000000,2024,5,11,0,3,0.000000,2313,518580.0,30,21387676.828,NaN
2024-05-11 00:03:30.000000,2024,5,11,0,3,30.000000,2313,518610.0,5,22948678.491,NaN
2024-05-11 00:03:30.000000,2024,5,11,0,3,30.000000,2313,518610.0,7,22685840.983,NaN
2024-05-11 00:03:30.000000,2024,5,11,0,3,30.000000,2313,518610.0,8,22361538.34,NaN
